"","Obs_t_1","NINA1_avg_t_1","NINA1_std_t_1","year","target","time","OLR","ESPI.x","z500_std","YYYY","seasonal","trend","remainder","stl_r","stl_t","stl_s","...1.y","soi_long_y","pna_y","nina3_y_anom","oni","ESPI.y","z500_std_t_1"
"23",7,22.3077777777778,1.92111006683347,2004,10,24,450.6,2.83788,1.54,2004,-0.725714285714286,8.2,2.52571428571428,2.41378674639294,8.08275517925017,-0.496541925643106,26,-0.633333333333333,-0.0441666666666667,0.216666666666667,0.458333333333333,2.83788,5.83
"24",10,21.7777777777778,2.0542611540135,2005,15,25,485.5,-2.46283,11.45,2005,2.99928571428571,8.6,3.40071428571429,2.61103395927196,8.10550854108918,4.28345749963886,27,-0.456666666666667,0.529166666666667,-0.18,0.0333333333333333,-2.46283,1.54
"25",15,22.99,1.52239463236924,2006,5,26,508.7,-0.18841,6.92,2006,-0.34,8.8,-3.46,-2.0210910840095,8.0105040376875,-0.989412953678,28,-0.2825,-0.279166666666667,0.168333333333333,0.0583333333333333,-0.18841,11.45
"26",5,21.5222222222222,2.42189706979192,2007,6,27,571.8,-6.3906,5.96,2007,-1.08285714285714,7.4,-0.317142857142858,-0.917210198336144,7.91549953428582,-0.998289335949681,29,0.035,0.568333333333333,-0.815833333333333,-0.608333333333333,-6.3906,6.92
"27",6,22.9833333333333,1.87869561723612,2008,8,28,687.1,-10.74882,-7.05,2008,-0.850714285714286,6.8,2.05071428571429,1.72429842698961,7.68342477609741,-1.40772320308701,30,0.9975,-0.105833333333333,-0.319166666666667,-0.775,-10.74882,5.96
"28",8,22.9311111111111,1.63954685474032,2009,3,29,NA,-0.38614,6.17,2009,-0.725714285714286,7.2,-3.47428571428571,-2.95468225639748,7.45135001790899,-1.49666776151151,31,-0.131666666666667,0.0433333333333333,0.3625,0.3,-0.38614,-7.05
"29",3,21.8511111111111,2.59362787530431,2010,12,30,573.4,-3.93491,19.22,2010,2.99928571428571,8,1.00071428571429,1.60097073546217,7.14836348788744,3.25066577665039,32,0.944166666666667,0.486666666666667,-0.504166666666667,-0.475,-3.93491,6.17
"30",12,22.1566666666667,2.06991747017444,2011,7,31,686.8,-9.96793,-0.16,2011,-0.34,6.8,0.539999999999999,1.05566147792417,6.84537695786589,-0.901038435790055,33,1.39583333333333,-0.149166666666667,-0.65,-0.85,-9.96793,19.22
"31",7,22.5822222222222,2.27007755007034,2012,10,32,569.6,-5.1515,-1.16,2012,-1.08285714285714,7.4,3.68285714285714,1.85095812451868,6.65589224190951,1.49314963357182,34,-0.18,-0.401666666666667,0.0483333333333333,-0.15,-5.1515,-0.16
"32",10,21.6455555555556,2.05411105401393,2013,2,33,583.3,-8.93066,6.92,2013,-0.850714285714286,5.8,-2.94928571428572,-2.9747903242675,6.46640752595313,-1.49161720168563,35,0.345833333333333,-0.4275,-0.4675,-0.325,-8.93066,-1.16
"33",2,23.2377777777778,1.62349845156139,2014,6,34,482.3,4.23252,6.77,2014,-0.725714285714286,5.8,0.925714285714285,1.33032579374274,6.58813312414131,-1.91845891788405,36,-0.381666666666667,0.105833333333333,0.193333333333333,0.108333333333333,4.23252,6.92
"34",6,24.2844444444444,1.28704091059902,2015,4,35,291.3,20.37436,14.21,2015,2.99928571428571,5.8,-4.79928571428571,-5.53994566937968,6.7098587223295,2.83008694705019,37,-1.17416666666667,0.1275,1.52166666666667,1.45833333333333,20.37436,6.77
"35",4,23.2322222222222,2.36528759703057,2016,7,36,488.7,0.72938,25.68,2016,-0.34,7,0.34,0.758552326410514,7.06644074881203,-0.824993075222546,38,-0.456666666666667,0.4325,0.290833333333333,0.325,0.72938,14.21
"36",7,22.3088888888889,2.89113251550707,2017,10,37,627.9,-10.38929,15.03,2017,-1.08285714285714,7,4.08285714285714,1.29517027409888,7.42302277529457,1.28180695060655,39,0.109166666666667,0.0241666666666667,-0.205,-0.208333333333333,-10.38929,25.68
"37",10,22.38,1.56176427122946,2018,8,38,607.2,-0.72309,7.83,2018,-0.850714285714286,9,-0.149285714285714,1.68909183327566,7.73666000485947,-1.42575183813513,40,0.0875,-0.1425,-0.0816666666666667,0.00833333333333334,-0.72309,15.03
"38",8,22.3222222222222,2.43900025055805,2019,6,39,443,7.80664,17.46,2019,-0.725714285714286,9,-2.27428571428571,-0.201750528546124,8.05029723442437,-1.84854670587825,41,-0.790833333333333,0.00916666666666667,0.26,0.475,7.80664,7.83
"39",6,21.8777777777778,2.41492048983444,2020,14,40,629.6,-6.27578,23.66,2020,2.99928571428571,8.6,2.40071428571428,2.90439262547466,8.36635650080754,2.7292508737178,42,0.300833333333333,0.0266666666666667,-0.4625,-0.366666666666667,-6.27578,17.46
"40",14,21.8277777777778,1.96488390242274,2021,7,41,697,-10.05624,13.07,2021,-0.34,NA,NA,-0.923674982221225,8.68241576719071,-0.758740784969483,43,0.7725,-0.274166666666667,-0.665833333333333,-0.725,-10.05624,23.66
"41",7,21.5333333333333,1.97611923279498,2022,8,42,767.4,-12.58263,7.02,2022,-1.08285714285714,NA,NA,-2.20123961428188,8.95864567967369,1.24259393460819,44,-15.4425,0.065,-0.915833333333333,-0.941666666666667,-12.58263,13.07
